title,album,year,lyrics,word_count,character_count,roberta_label,roberta_confidence,roberta_compound,model_window_score,theme_valence,calibration_anchor,sentiment_windows,label_distribution,textblob_polarity,textblob_subjectivity,midnight,day,night,sun,moon,dark,light,dawn,dusk,time,forever,never,always,memory,remember,forget,hour,moment,yesterday,tomorrow,tonight,clock,timeless,love,heart,break,tears,smile,happy,sad,cry,pain,angry,mad,hurt,scared,fear,hope,dream,lonely,regret,sorry,shame,trust,betrayal,grace,red,blue,golden,white,black,color,paint,gray,silver,green,purple,pink,gold,blonde,rain,storm,snow,winter,summer,spring,autumn,wind,fire,water,ocean,river,sky,star,earth,sea,lightning,sunshine,cloud,leaf,tree,boy,girl,man,woman,baby,darling,dear,sweet,kiss,dance,touch,hold,leave,stay,wait,lover,friend,enemy,ex,together,apart,promise,roberta_sentiment
Tim McGraw,Taylor Swift,2006,"He said the way my blue eyes shined
Put those Georgia stars to shame that night
I said, ""That's a lie""
Just a boy in a Chevy truck
That had a tendency of gettin' stuck
On backroads at night
And I was right there beside him all summer long
And then the time we woke up to find that summer gone
But when you think Tim McGraw
I hope you think my favorite song
The one we danced to all night long
The moon like a spotlight on the lake
When you think happiness
I hope you think that little black dress
Think of my head on your chest
And my old faded blue jeans
When you think Tim McGraw
I hope you think of me
September saw a month of tears
And thanking God that you weren't here
To see me like that
But in a box beneath my bed
Is a letter that you never read
From three summers back
It's hard not to find it all a little bittersweet
And lookin' back on all of that, it's nice to believe
When you think Tim McGraw
I hope you think my favorite song
The one we danced to all night long
The moon like a spotlight on the lake
When you think happiness
I hope you think that little black dress
Think of my head on your chest
And my old faded blue jeans
When you think Tim McGraw
I hope you think of me
And I'm back for the first time since then
I'm standing on your street
And there's a letter left on your doorstep
And the first thing that you'll read
Is when you think Tim McGraw
I hope you think my favorite song
Someday you'll turn your radio on
I hope it takes you back to that place
When you think happiness
I hope you think that little black dress
Think of my head on your chest
And my old faded blue jeans
When you think Tim McGraw
I hope you think of me
Oh, think of me
Mmm
He said the way my blue eyes shined
Put those Georgia stars to shame that night
I said, ""That's a lie",366,1773,mixed,0.16,0.16,0.1593,0.2091,,"[{'window_index': 0, 'negative': 0.1243, 'neutral': 0.592, 'positive': 0.2836, 'signed_score': 0.1593, 'weight': 25.625}]","{'positive': 0, 'negative': 0, 'mixed': 1}",0.1057,0.3513,0,0,5,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mixed
Picture to Burn,Taylor Swift,2006,"State the obvious, I didn't get my perfect fantasy
I realize you love yourself more than you could ever love me
So go and tell your friends that I'm obsessive and crazy
That's fine, you won't mind if I say
By the way
I hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lying
So watch me strike a match on all my wasted time
As far as I'm concerned, you're just another picture to burn
There's no time for tears
I'm just sitting here planning my revenge
There's nothing stopping me
From going out with all of your best friends
And if you come around saying sorry to me
My daddy's gonna show you how sorry you'll be
'Cause I hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lying
So watch me strike a match on all my wasted time
As far as I'm concerned, you're just another picture to burn
And if you're missing me, you'd better keep it to yourself
'Cause coming back around here would be bad for your health
'Cause I hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lying
So watch me strike a match on all my wasted time
In case you haven't heard, I really, really hate that
Stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lying
So watch me strike a match on all my wasted time
As far as I'm concerned, you're just another picture to burn
Burn, burn, burn, baby, burn
Just another picture to burn
Baby, burn",290,1520,negative,0.4238,-0.4238,-0.4831,-0.1174,,"[{'window_index': 0, 'negative': 0.5667, 'neutral': 0.3497, 'positive': 0.0836, 'signed_score': -0.4831, 'weight': 23.2069}]","{'positive': 0, 'negative': 1, 'mixed': 0}",-0.1995,0.5995,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
Teardrops On My Guitar,Taylor Swift,2006,"Drew looks at me, I fake a smile so he won't see
That I want and I'm needing everything that we should be
I'll bet she's beautiful, that girl he talks about
And she's got everything that I have to live without
Drew talks to me, I laugh 'cause it's just so funny
But I can't even see anyone when he's with me
He says he's so in love, he's finally got it right
I wonder if he knows he's all I think about at night
He's the reason for the teardrops on my guitar
The only thing that keeps me wishing on a wishing star
He's the song in the car I keep singing, don't know why I do
Drew walks by me, can he tell that I can't breathe?
And there he goes, so perfectly
The kind of flawless I wish I could be
She'd better hold him tight, give him all her love
Look in those beautiful eyes and know she's lucky 'cause
He's the reason for the teardrops on my guitar
The only thing that keeps me wishing on a wishing star
He's the song in the car I keep singing, don't know why I do
So I drive home alone, as I turn out the light
I'll put his picture down and maybe get some sleep tonight
'Cause he's the reason for the teardrops on my guitar
The only one who's got enough of me to break my heart
He's the song in the car I keep singing, don't know why I do
He's the time taken up, but there's never enough
And he's all that I need to fall into
Drew looks at me, I fake a smile so he won't see",288,1379,positive,0.7112,0.7112,0.8059,0.2946,,"[{'window_index': 0, 'negative': 0.0272, 'neutral': 0.1397, 'positive': 0.8331, 'signed_score': 0.8059, 'weight': 23.2379}]","{'positive': 1, 'negative': 0, 'mixed': 0}",0.2604,0.694,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,positive
A Place in This World,Taylor Swift,2006,"I don't know what I want
So don't ask me
'Cause I'm still trying, to figure it out
Don't know what's down, this road
I'm just walking
Trying to see through the rain coming down
Even though I'm not the only one, who feels the way I do
I'm alone, on my own
And that's all I know
I'll be strong, I'll be wrong
Oh, but life goes on
Oh, I'm just a girl
Trying to find a place in this world
Got the radio on, my old blue jeans
And I'm wearing my heart on my sleeve
Feeling lucky today, got the sunshine
Could you tell me what more do I need?
And tomorrow's just a mystery
Oh yeah, but that's okay
I'm alone, on my own
And that's all I know
I'll be strong, I'll be wrong
Oh, but life goes on
Oh, I'm just a girl
Trying to find a place, in this world
Maybe I'm just a girl on a mission
But I'm ready to fly
I'm alone, on my own
And that's all I know
Oh, I'll be strong, I'll be wrong
Oh, but life goes on
Oh, I'm alone, on my own
And that's all I know
Oh, I'm just a girl
Trying to find a place, in this world
Oh, I'm just a girl
Oh, I'm just a girl
Oh, oh
Oh, I'm just a girl",233,1068,mixed,0.1121,-0.1121,-0.1658,0.0655,,"[{'window_index': 0, 'negative': 0.3055, 'neutral': 0.5547, 'positive': 0.1398, 'signed_score': -0.1658, 'weight': 22.0943}]","{'positive': 0, 'negative': 0, 'mixed': 1}",0.2161,0.7006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mixed
Cold as You,Taylor Swift,2006,"You have a way of coming easily to me
And when you take, you take the very best of me
So I start a fight 'cause I need to feel somethin'
And you do what you want 'cause I'm not what you wanted
Oh, what a shame
What a rainy ending given to a perfect day
Just walk away
Ain't no use defending words that you will never say
And now that I'm sittin' here thinkin' it through
I've never been anywhere cold as you
You put up the walls and paint them all a shade of gray
And I stood there loving you, and wished them all away
And you come away with a great little story
Of a mess of a dreamer with the nerve to adore you
Oh, what a shame
What a rainy ending given to a perfect day
Just walk away
Ain't no use defending words that you will never say
And now that I'm sittin' here thinkin' it through
I've never been anywhere cold as you
You never did give a damn thing, honey
But I cried, cried for you
And I know you wouldn't have told nobody if I died, died for you
Died for you
Oh, what a shame
What a rainy ending given to a perfect day
Oh, every smile you fake is so condescending
Countin' all the scars you've made
Now that I'm sittin' here thinkin' it through
I've never been anywhere cold as you",245,1195,negative,0.324,-0.324,-0.3803,-0.3194,,"[{'window_index': 0, 'negative': 0.4954, 'neutral': 0.3895, 'positive': 0.1151, 'signed_score': -0.3803, 'weight': 21.5332}]","{'positive': 0, 'negative': 1, 'mixed': 0}",0.2479,0.7642,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
The Outside,Taylor Swift,2006,"I didn't know what I would find
When I went lookin' for a reason
I know I didn't read between the lines
And baby I've got nowhere to go
I tried to take the road less traveled by
But nothing seems to work the first few times, am I right?
So, how can I ever try to be better?
Nobody ever let's me in
And I can still see you, this ain't the best view
On the outside looking in
I've been a lot of lonely places
I've never been on the outside
You saw me there but never knew
That I would give it all up to be
A part of this, a part of you
And now it's all too late so you see
You could have helped if you had wanted to
But no one notices until it's too late to do anything
How can I ever try to be better?
Nobody ever let's me in
And I can still see you, this ain't the best view
On the outside looking in
I've been a lot of lonely places
I've never been on the outside
Oh yeah
How can I ever try to be better?
Nobody ever let's me in
And I can still see you, this ain't the best view
On the outside looking in
I've been a lot of lonely places
I've never been on the outside
Oh, oh, oh-oh
Oh, oh-oh",237,1093,negative,0.5313,-0.5313,-0.6891,0.1941,,"[{'window_index': 0, 'negative': 0.7171, 'neutral': 0.2548, 'positive': 0.0281, 'signed_score': -0.6891, 'weight': 21.0257}]","{'positive': 0, 'negative': 1, 'mixed': 0}",0.1795,0.335,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
Tied Together With a Smile,Taylor Swift,2006,"Seems the only one who doesn't see your beauty
Is the face in the mirror looking back at you
You walk around here thinking you're not pretty
But that's not true 'cause I know you
Hold on, baby, you're losing it
The water's high, you're jumping into it
And letting go, and no one knows
That you cry, but you don't tell anyone
That you might not be the golden one
And you're tied together with a smile
But you're coming undone
I guess it's true that love was all you wanted
'Cause you're givin' it away like it's extra change
Hoping it will end up in his pocket
But he leaves you out like a penny in the rain
Oh, 'cause it's not his price to pay
It's not his price to pay
Hold on, baby, you're losing it
The water's high, you're jumping into it
And letting go, and no one knows
That you cry, but you don't tell anyone
That you might not be the golden one
And you're tied together with a smile
But you're coming undone
Hold on, baby, you're losing it
The water's high, you're jumping into it
And letting go, and no one knows
That you cry, but you don't tell anyone
That you might not be the golden one
And you're tied together with a smile
But you're coming undone
You're tied together with a smile
But you're coming undone, oh
Goodbye, baby
With a smile, baby, baby",246,1263,negative,0.3947,-0.3947,-0.5388,0.3188,,"[{'window_index': 0, 'negative': 0.579, 'neutral': 0.3809, 'positive': 0.0401, 'signed_score': -0.5388, 'weight': 22.0943}]","{'positive': 0, 'negative': 1, 'mixed': 0}",0.1906,0.4233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,negative
Stay Beautiful,Taylor Swift,2006,"Corey's eyes are like a jungle
He smiles, it's like the radio
He whispers songs into my window in words that nobody knows
These pretty girls on every corner
They watch him as he's walking home, saying, ""Does he know?""
Will you ever know?
You're beautiful
Every little piece, love
And don't you know
You're really gonna be someone
Ask anyone
And when you find everything you looked for
I hope your life will lead you back to my door
Oh, but if it don't
Stay beautiful
Corey finds another way to be the highlight of my day
I'm taking pictures in my mind so I can save them for a rainy day
It's hard to make a conversation when he's taking my breath away
I should say
Hey, by the way
You're beautiful
Every little piece, love
And don't you know
You're really gonna be someone
Ask anyone
And when you find everything you looked for
I hope your life will lead you back to my door
Oh, but if it don't
Stay beautiful
If you and I are a story
That never gets told
If what you are is a daydream
I'll never get to hold
At least you'll know
You're beautiful
Every little piece, love
And don't you know
You're really gonna be someone
Ask anyone
And when you find everything you looked for
I hope your life will lead you back to my front door
Oh, but if it don't
Will you stay
Beautiful, beautiful, beautiful?
Beautiful, beautiful, beautiful?
La la la la
Oh-oh-oh, oh
Oh, but if it don't
Stay beautiful
Stay beautiful
Na, na, na, na, na",273,1423,positive,0.6631,0.6631,0.7233,0.35,,"[{'window_index': 0, 'negative': 0.0197, 'neutral': 0.2374, 'positive': 0.7429, 'signed_score': 0.7233, 'weight': 23.3923}]","{'positive': 1, 'negative': 0, 'mixed': 0}",0.4374,0.6729,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,positive
Shouldve Said No,Taylor Swift,2006,"It's strange to think the songs we used to sing
The smiles, the flowers, everything is gone
Yesterday I found out about you
Even now just looking at you
Feels wrong
You say that you'd take it all back
Given one chance, it was a moment of weakness
And you said, ""Yes""
You should've said, ""No""
You should've gone home
You should've thought twice 'fore you let it all go
You should've known that word 'bout what you did with her
Get back to me (get back to me)
And I should've been there
In the back of your mind
I shouldn't be asking myself, ""Why?""
You shouldn't be beggin' for forgiveness at my feet
You should've said, ""No""
Baby, and you might still have me
You can see that I've been cryin'
Baby, you know all the right things
To say
But do you honestly expect me to believe
We could ever be the same?
You say that the past is the past
You need one chance, it was a moment of weakness
And you said, ""Yes""
You should've said, ""No""
You should've gone home
You should've thought twice 'fore you let it all go
You should've known that word 'bout what you did with her
Get back to me (get back to me)
And I should've been there
In the back of your mind
I shouldn't be asking myself, ""Why?""
You shouldn't be beggin' for forgiveness at my feet
You should've said, ""No""
Baby, and you might still have me, oh-whoa
I can't resist
Before you go, tell me this
Was it worth it?
Was she worth this?
No, no, no, no, no, no
You should've said, ""No""
You should've gone home
You should've thought twice 'fore you let it all go
You should've known that word 'bout what you did with her
Get back to me (get back to me)
And I should've been there
In the back of your mind
I shouldn't be asking myself, ""Why?""
You shouldn't be beggin' for forgiveness at my feet
You should've said, ""No""
Baby, and you might still have me",350,1799,mixed,0.1863,-0.1863,-0.2294,0.0,,"[{'window_index': 0, 'negative': 0.5834, 'neutral': 0.3815, 'positive': 0.0351, 'signed_score': -0.5483, 'weight': 21.9089}, {'window_index': 1, 'negative': 0.151, 'neutral': 0.6503, 'positive': 0.1987, 'signed_score': 0.0477, 'weight': 8.2462}, {'window_index': 2, 'negative': 0.1867, 'neutral': 0.5563, 'positive': 0.257, 'signed_score': 0.0703, 'weight': 15.692}]","{'positive': 0, 'negative': 1, 'mixed': 2}",0.0229,0.1742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mixed
Marys Song (Oh My My My),Taylor Swift,2006,"She said, I was seven and you were nine
I looked at you like the stars that shine
In the sky, the pretty lights
And our daddies used to joke about the two of us
Growing up and falling in love and our mamas smiled
And rolled their eyes and said oh my my my
Take me back to the house in the backyard tree
Said you'd beat me up, you were bigger than me
You never did, you never did
Take me back when our world was one block wide
I dared you to kiss me and ran when you tried
Just two kids, you and I
Oh my my my my
Well, I was sixteen when suddenly
I wasn't that little girl you used to see
But your eyes still shined like pretty lights
And our daddies used to joke about the two of us
They never believed we'd really fall in love
And our mamas smiled and rolled their eyes
And said oh my my my
Take me back to the creek beds we turned up
Two A.M. riding in your truck and all I need is you next to me
Take me back to the time we had our very first fight
The slamming of doors instead of kissing goodnight
You stayed outside till the morning light
Oh my my my my
A few years had gone and come around
We were sitting at our favorite spot in town
And you looked at me, got down on one knee
Take me back to the time when we walked down the aisle
Our whole town came and our mamas cried
You said I do and I did too
Take me home where we met so many years before
We'll rock our babies on that very front porch
After all this time, you and I
I'll be eighty-seven; you'll be eighty-nine
I'll still look at you like the stars that shine
In the sky, oh my my my",330,1549,positive,0.4152,0.4152,0.4844,0.0548,,"[{'window_index': 0, 'negative': 0.0383, 'neutral': 0.439, 'positive': 0.5227, 'signed_score': 0.4844, 'weight': 24.0599}]","{'positive': 1, 'negative': 0, 'mixed': 0}",0.1565,0.3615,0,0,0,0,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
